entry_date,exit_date,symbol,entry_price,exit_price,quantity,pnl,pnl_pct,days_held,exit_reason,entry_score
2025-07-16,2025-07-20,DOGEUSD,0.2125706,0.2739231,5645.1832943972495,346.3461080695072,28.86217567245893,4,Take Profit,65
2025-07-16,2025-07-22,SOLUSD,173.84,205.79,6.902899217671422,220.54763000460184,18.378969167050155,6,Take Profit,100
2025-07-16,2025-07-22,SHIBUSD,1.438e-05,1.546e-05,83449235.04867873,90.1251738525732,7.510431154381096,6,Time Exit,95
2025-07-17,2025-07-23,AVAXUSD,23.93,23.95,50.41104385207468,1.0082208770413672,0.08357709987463256,6,Time Exit,95
2025-07-17,2025-07-23,LTCUSD,101.51,112.06,11.883915667226352,125.37531028923809,10.393064722687416,6,Time Exit,75
2025-07-18,2025-07-23,UNIUSD,10.126,10.176,120.44355655831899,6.022177827916039,0.49377839225756187,5,Trailing Stop (protect gains),125
2025-08-08,2025-08-11,LINKUSD,19.88413,21.08047,65.11378443565322,77.89822487174933,6.016556922530678,3,Trailing Stop,90
2025-08-08,2025-08-14,UNIUSD,10.869,10.884,119.12144212995723,1.7868216319493513,0.13800717637317664,6,Time Exit,70
2025-08-09,2025-08-14,ETHUSD,4262.91,4549.29,0.30789275964782825,88.17432850794512,6.717946191685964,5,Trailing Stop,85
2025-08-12,2025-08-14,LTCUSD,130.39,121.35,10.172987738519277,-91.96380915621421,-6.933047012807725,2,Stop Loss,95
2025-08-12,2025-08-14,SOLUSD,191.69,192.6,6.9197969180736,6.297015195446875,0.4747248161093415,2,Trailing Stop (protect gains),60
2025-08-12,2025-08-15,LINKUSD,23.59809,21.76428,56.21030647927559,-103.07902212476029,-7.771010280916803,3,Stop Loss,110
2025-08-17,2025-08-19,LINKUSD,25.66142,23.55042,50.35670596489357,-106.30300629189037,-8.226356920232789,2,Stop Loss,110
2025-08-22,2025-08-25,ETHUSD,4830.0,4377.69,0.264900252759133,-119.81703332548341,-9.364596273291934,3,Stop Loss,135
2025-08-22,2025-08-25,DOGEUSD,0.240416,0.2097079,5321.892972292246,-163.42522158244742,-12.772901969918804,3,Stop Loss,105
2025-08-22,2025-08-25,SOLUSD,200.62,187.19,6.377570635164053,-85.6507736302533,-6.694247831721666,3,Stop Loss,95
2025-08-22,2025-08-25,UNIUSD,11.411,9.703,112.12586283643962,-191.51097372463892,-14.968013320480242,3,Stop Loss,95
2025-08-22,2025-08-25,LINKUSD,26.77286,23.39824,47.789747558782004,-161.27223790681683,-12.604630211340886,3,Stop Loss,90
2025-08-22,2025-08-25,SHIBUSD,1.339e-05,1.203e-05,95554012.01094939,-129.95345633489137,-10.156833457804334,3,Stop Loss,80
2025-08-28,2025-08-29,ATOMUSD,4.7798,4.4806,246.30165639693473,-73.69345559396288,-6.259676137076864,1,Stop Loss,80
2025-08-28,2025-08-30,SOLUSD,214.47,202.71,5.489218339376456,-64.55320767106718,-5.48328437543712,2,Stop Loss,100
2025-09-12,2025-09-14,DOGEUSD,0.2754409,0.2781931,4206.013901236335,11.575791458982621,0.9991980130765031,2,Trailing Stop (protect gains),100
2025-09-13,2025-09-15,DOTUSD,4.495,4.1552,260.5180155723661,-88.5240216914899,-7.5595105672970035,2,Stop Loss,90
2025-09-10,2025-09-16,AVAXUSD,29.46,30.08,39.39861023945231,24.427138348460403,2.1045485403937456,6,Time Exit,130
2025-09-12,2025-09-18,SOLUSD,242.33,247.65,4.78070504835987,25.43335085727449,2.1953534436512165,6,Time Exit,100
2025-09-17,2025-09-19,AVAXUSD,31.81,33.78,36.33531002309976,71.58056074550677,6.193021062558952,2,Trailing Stop,95
2025-10-01,2025-10-07,LTCUSD,115.14,116.96,10.126994928092001,18.43113076912732,1.5806843842278904,6,Time Exit,70
2025-10-09,2025-10-10,LTCUSD,125.93,97.95,9.276851677223922,-259.56630992872533,-22.218692924640678,1,Stop Loss,90
2025-10-20,2025-10-21,LINKUSD,18.65,17.60344,60.9697573469899,-63.808509249065764,-5.611581769436995,1,Stop Loss,55
2025-11-07,2025-11-10,LTCUSD,101.87,104.2,11.086963320030172,25.83262453567022,2.2872288210464298,3,Trailing Stop,115
2025-11-09,2025-11-10,UNIUSD,6.57,9.376,172.9960874634793,485.4270214225228,42.70928462709283,1,Take Profit,90
2025-11-07,2025-11-11,DOTUSD,3.2507,3.0546,347.44176743823596,-68.13333059463798,-6.032546836066076,4,Stop Loss,125
2025-11-10,2025-11-11,UNIUSD,9.376,8.235,127.7351958414664,-145.7458584551132,-12.169368600682596,1,Stop Loss,120
2025-11-10,2025-11-11,XRPUSD,2.52519,2.3904,474.2792408530008,-63.92809887457588,-5.33781616432822,1,Stop Loss,80
2025-11-07,2025-11-12,ATOMUSD,3.0467,2.8905,370.70566626562305,-57.904225070690245,-5.126858568287003,5,Stop Loss,105
2025-11-07,2025-11-12,SHIBUSD,1.002e-05,9.5e-06,112717460.42030674,-58.613079418559664,-5.189620758483034,5,Stop Loss,75
2025-11-07,2025-11-13,DOGEUSD,0.1787495,0.1637386,6318.5013295783965,-94.84639160816846,-8.397729783859532,6,Stop Loss,80
2025-11-24,2025-11-30,SOLUSD,138.39,133.55,8.180356910498208,-39.592927446811245,-3.4973625261940713,6,Time Exit,65
2025-11-24,2025-11-30,XRPUSD,2.22693,2.15423,508.3588585379186,-36.95768901570659,-3.2645839788408155,6,Time Exit,60
2025-12-03,2025-12-05,SHIBUSD,8.97e-06,8.31e-06,125183223.95410751,-82.62092780971102,-7.35785953177258,2,Stop Loss,90
2025-12-03,2025-12-05,LINKUSD,14.6351,13.59036,76.72605714127984,-80.15878093778065,-7.138591468455966,2,Stop Loss,80
2025-12-09,2025-12-11,ADAUSD,0.46987,0.425358,2348.223878559273,-104.52414128243026,-9.473258560878541,2,Stop Loss,90
2025-12-09,2025-12-12,ETHUSD,3318.37,3256.99,0.3325005812548467,-20.408885677422404,-1.8497033181953824,4,Backtest End,100
